title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,answer,image
SPM SC Paper 2 基础作答,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,操纵性变数,反应性变数,固定性变数,,,,,,,,,,A,
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,操纵性变数,反应性变数,固定性变数,,,,,,,,,,B,
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,操纵性变数,反应性变数,固定性变数,,,,,,,,,,C,
,radio,Controlled Variable / Pemboleh ubah dikawal 是,操纵性变数,反应性变数,固定性变数,,,,,,,,,,C,
,radio,Factor that changed / Faktor yang diubah,Manipulated Variable / Pemboleh ubah dimanipulasikan,Responding Variable / Pemboleh ubah bergerak balas,Constant Variable / Pemboleh ubah dimalarkan,,,,,,,,,,A,
,radio,Factor that observed / Faktor yang diperhatikan,Manipulated Variable / Pemboleh ubah dimanipulasikan,Responding Variable / Pemboleh ubah bergerak balas,Constant Variable / Pemboleh ubah dimalarkan,,,,,,,,,,B,
,radio,Factor that fixed / Faktor yang ditetapkan,Manipulated Variable / Pemboleh ubah dimanipulasikan,Responding Variable / Pemboleh ubah bergerak balas,Constant Variable / Pemboleh ubah dimalarkan,,,,,,,,,,C,
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use different type of  操纵性变数 / Gunakan 操纵性变数 yang berbeza,Measure the 操纵性变数 by using 工具 / Mengukur 操纵性变数 dengan menggunakan 工具,Use the same 操纵性变数 / Menggunakan 操纵性变数 yang sama,,,,,,,,,,A,
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use different type of  反应性变数 / Gunakan 反应性变数 yang berbeza,Measure the 反应性变数 by using 工具 / Mengukur 反应性变数 dengan menggunakan 工具,Use the same 反应性变数 / Menggunakan 反应性变数 yang sama,,,,,,,,,,B,
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use different type of  固定性变数 / Gunakan 固定性变数 yang berbeza,Measure the 固定性变数 by using 工具 / Mengukur 固定性变数 dengan menggunakan 工具,Use the same 固定性变数 / Menggunakan 固定性变数 yang sama,,,,,,,,,,C,
,radio,2个内容的Observation / Pemerhatian 怎么写?,比较: Responding Variable for A is more than B / Pemboleh ubah bergerak balas A lebih daripada B,比较: Manipulated Variable for A is more than B / Pemboleh ubah dimanipulasikan A lebih daripada B,最: Responding Variable for A is the highest / Pemboleh ubah bergerak balas paling tinggi,最: Manipulated Variable for A is the highest / Pemboleh ubah dimanipulasikan paling tinggi,原因(解释Observation / Pemerhatian),越…越,To study the effect of 操纵性变数 on 反应性变数 / Untuk mengaji kesan 操纵性变数 terhadap 反应性变数,What is the effect of 操纵性变数 on 反应性变数? / Apakah kesan 操纵性变数 terhadap 反应性变数?,Does 操纵性变数 affect 反应性变数? / Adakah 操纵性变数 mempengaruhi 反应性变数?,,,,A,
,radio,3个内容的Observation / Pemerhatian 怎么写?,比较: Responding Variable for A is more than B / Pemboleh ubah bergerak balas A lebih daripada B,比较: Manipulated Variable for A is more than B / Pemboleh ubah dimanipulasikan A lebih daripada B,最: Responding Variable for A is the highest / Pemboleh ubah bergerak balas paling tinggi,最: Manipulated Variable for A is the highest / Pemboleh ubah dimanipulasikan paling tinggi,原因(解释Observation / Pemerhatian),越…越,To study the effect of 操纵性变数 on 反应性变数 / Untuk mengaji kesan 操纵性变数 terhadap 反应性变数,What is the effect of 操纵性变数 on 反应性变数? / Apakah kesan 操纵性变数 terhadap 反应性变数?,Does 操纵性变数 affect 反应性变数? / Adakah 操纵性变数 mempengaruhi 反应性变数?,,,,C,
,radio,Inference / Inferens 怎么写?,比较: Responding Variable for A is more than B / Pemboleh ubah bergerak balas A lebih daripada B,比较: Manipulated Variable for A is more than B / Pemboleh ubah dimanipulasikan A lebih daripada B,最: Responding Variable for A is the highest / Pemboleh ubah bergerak balas paling tinggi,最: Manipulated Variable for A is the highest / Pemboleh ubah dimanipulasikan paling tinggi,原因(解释Observation / Pemerhatian),越…越,To study the effect of 操纵性变数 on 反应性变数 / Untuk mengaji kesan 操纵性变数 terhadap 反应性变数,What is the effect of 操纵性变数 on 反应性变数? / Apakah kesan 操纵性变数 terhadap 反应性变数?,Does 操纵性变数 affect 反应性变数? / Adakah 操纵性变数 mempengaruhi 反应性变数?,,,,"E,F",
,radio,Hypothesis / Hipotesis 怎么写?,比较: Responding Variable for A is more than B / Pemboleh ubah bergerak balas A lebih daripada B,比较: Manipulated Variable for A is more than B / Pemboleh ubah dimanipulasikan A lebih daripada B,最: Responding Variable for A is the highest / Pemboleh ubah bergerak balas paling tinggi,最: Manipulated Variable for A is the highest / Pemboleh ubah dimanipulasikan paling tinggi,原因(解释Observation / Pemerhatian),越…越,比较 / 最,To study the effect of 操纵性变数 on 反应性变数 / Untuk mengaji kesan 操纵性变数 terhadap 反应性变数,What is the effect of 操纵性变数 on 反应性变数? / Apakah kesan 操纵性变数 terhadap 反应性变数?,Does 操纵性变数 affect 反应性变数? / Adakah 操纵性变数 mempengaruhi 反应性变数?,,,"F,G",
,radio,Conclusion / Kesimpulan 怎么写?,比较: Responding Variable for A is more than B / Pemboleh ubah bergerak balas A lebih daripada B,比较: Manipulated Variable for A is more than B / Pemboleh ubah dimanipulasikan A lebih daripada B,最: Responding Variable for A is the highest / Pemboleh ubah bergerak balas paling tinggi,最: Manipulated Variable for A is the highest / Pemboleh ubah dimanipulasikan paling tinggi,原因(解释Observation / Pemerhatian),越…越,比较 / 最,To study the effect of 操纵性变数 on 反应性变数 / Untuk mengaji kesan 操纵性变数 terhadap 反应性变数,What is the effect of 操纵性变数 on 反应性变数? / Apakah kesan 操纵性变数 terhadap 反应性变数?,Does 操纵性变数 affect 反应性变数? / Adakah 操纵性变数 mempengaruhi 反应性变数?,,,"F,G",
,radio,Aim / Tujuan 怎么写?,比较: Responding Variable for A is more than B / Pemboleh ubah bergerak balas A lebih daripada B,比较: Manipulated Variable for A is more than B / Pemboleh ubah dimanipulasikan A lebih daripada B,最: Responding Variable for A is the highest / Pemboleh ubah bergerak balas paling tinggi,最: Manipulated Variable for A is the highest / Pemboleh ubah dimanipulasikan paling tinggi,原因(解释Observation / Pemerhatian),越…越,比较 / 最,To study the effect of 操纵性变数 on 反应性变数 / Untuk mengaji kesan 操纵性变数 terhadap 反应性变数,What is the effect of 操纵性变数 on 反应性变数? / Apakah kesan 操纵性变数 terhadap 反应性变数?,Does 操纵性变数 affect 反应性变数? / Adakah 操纵性变数 mempengaruhi 反应性变数?,,,H,
,radio,Problem statement / Pernyataan masalah 怎么写?,比较: Responding Variable for A is more than B / Pemboleh ubah bergerak balas A lebih daripada B,比较: Manipulated Variable for A is more than B / Pemboleh ubah dimanipulasikan A lebih daripada B,最: Responding Variable for A is the highest / Pemboleh ubah bergerak balas paling tinggi,最: Manipulated Variable for A is the highest / Pemboleh ubah dimanipulasikan paling tinggi,原因(解释Observation / Pemerhatian),越…越,比较 / 最,To study the effect of 操纵性变数 on 反应性变数 / Untuk mengaji kesan 操纵性变数 terhadap 反应性变数,What is the effect of 操纵性变数 on 反应性变数? / Apakah kesan 操纵性变数 terhadap 反应性变数?,Does 操纵性变数 affect 反应性变数? / Adakah 操纵性变数 mempengaruhi 反应性变数?,,,"I,J",
,radio,Relationship / Hubungan 怎么写?,比较: Responding Variable for A is more than B / Pemboleh ubah bergerak balas A lebih daripada B,比较: Manipulated Variable for A is more than B / Pemboleh ubah dimanipulasikan A lebih daripada B,最: Responding Variable for A is the highest / Pemboleh ubah bergerak balas paling tinggi,最: Manipulated Variable for A is the highest / Pemboleh ubah dimanipulasikan paling tinggi,原因(解释Observation / Pemerhatian),越…越,比较 / 最,To study the effect of 操纵性变数 on 反应性变数 / Untuk mengaji kesan 操纵性变数 terhadap 反应性变数,What is the effect of 操纵性变数 on 反应性变数? / Apakah kesan 操纵性变数 terhadap 反应性变数?,Does 操纵性变数 affect 反应性变数? / Adakah 操纵性变数 mempengaruhi 反应性变数?,,,F,
,radio,Operational definition / Definasi secara operasi 怎么写？,比较: Responding Variable for A is more than B / Pemboleh ubah bergerak balas A lebih daripada B,比较: Manipulated Variable for A is more than B / Pemboleh ubah dimanipulasikan A lebih daripada B,最: Responding Variable for A is the highest / Pemboleh ubah bergerak balas paling tinggi,最: Manipulated Variable for A is the highest / Pemboleh ubah dimanipulasikan paling tinggi,原因(解释Observation / Pemerhatian),越…越,比较 / 最,To study the effect of 操纵性变数 on 反应性变数 / Untuk mengaji kesan 操纵性变数 terhadap 反应性变数,What is the effect of 操纵性变数 on 反应性变数? / Apakah kesan 操纵性变数 terhadap 反应性变数?,Does 操纵性变数 affect 反应性变数? / Adakah 操纵性变数 mempengaruhi 反应性变数?,题目 is a 什么 that 怎样(反应性变数) + 情况 / 题目 ialah suatu 什么 yang 怎样(反应性变数) + 情况,题目 is a 什么 that shown by 反应性变数 + 情况 / 题目 ialah suatu 什么 yang ditunjukkan oleh 反应性变数 + 情况,"K,L",
,checkbox,3 Aspects of drawing a graph / 3 Aspek melukis graf,Label Manipulated Variable on X-axis / Label Pemboleh ubah dimanipulasikan pada paksi-X,Label Manipulated Variable on Y-axis / Label Pemboleh ubah dimanipulasikan pada paksi-Y,Label Responding Variable on X-axis / Label Pemboleh ubah bergerak balas pada paksi-X,Label Responding Variable on Y-axis / Label Pemboleh ubah bergerak balas pada paksi-Y,Draw a graph based on the correct data / Melukis graf berdasarkan data yang betul,Draw a table based on the correct data / Melukis jadual berdasarkan data yang betul,,,,,,,"A,D,E",
